transaction_id,customer_id,merchant_id,timestamp,amount,hour,amount_log,is_weekend,velocity_24h,amount_deviation,merchant_risk_score,is_fraud
1b2833d6-4cda-4f09-9b34-d9fc5d244486,CUST_021428,MERCH_00704,2024-01-01 16:55:00,36.49667265156351,10,3.624252199748049,0,3,1.8235887184369846,0.4536711219675811,0
a1eb0419-388b-442e-95c5-d042f61126ce,CUST_007148,MERCH_01348,2024-01-26 17:45:00,111.4889614871811,18,4.722855096716436,0,3,0.4164481544594258,0.1368663036651613,0
588d49bf-9813-4543-aa10-a3700b18e8fe,CUST_003029,MERCH_02726,2024-01-24 11:48:00,77.61264009506489,19,4.3645325019645815,0,4,0.256195704481006,0.3443360136750189,0
0737236c-b03f-432c-84cf-1ed4a937bb0b,CUST_002720,MERCH_04156,2024-01-27 03:58:00,97.2231275696206,11,4.587241702596711,1,2,0.3725980311907455,0.1718766545965073,0
e31deb8d-30ed-4058-a01e-ca1c9e97b28b,CUST_011971,MERCH_02724,2024-01-16 04:12:00,302.94686641529074,18,5.7168529046015015,0,3,0.368537644641398,0.1206597184242972,0
0d616ee4-3556-483d-a0d3-ad36c5662ed3,CUST_014289,MERCH_02857,2024-01-13 12:17:00,187.42821808830956,15,5.238717128465525,1,5,0.9080079474912612,0.17782661903805322,0
8e01acbd-9a3d-4cb4-9d84-0d40fa7be851,CUST_018436,MERCH_01013,2024-01-04 03:55:00,140.92744071401293,16,4.955315946118804,0,2,0.7062072225849562,0.023527639985650523,0
fef0359d-04cd-4b4d-b502-25ace58512e2,CUST_006564,MERCH_01603,2024-01-08 14:34:00,172.96189753031575,14,5.158836295524142,0,3,0.29332512231822466,0.1594050035478354,0
8eb83d06-3396-40d9-aebc-1bd95bce2781,CUST_009324,MERCH_04328,2024-01-16 18:07:00,31.23012523945073,16,3.4729015816234186,0,5,0.37707340164339936,0.06043710053556659,0
fe98c96f-5e12-4ced-8a47-1571751e4a95,CUST_022994,MERCH_00672,2024-01-19 00:25:00,94.48934421761965,8,4.559014662388206,0,3,1.1874397027034798,0.3503839563052585,0
67a56554-205f-4dab-9a13-b9f84566600e,CUST_003973,MERCH_00923,2024-01-19 17:22:00,21.700151154942255,16,3.122371583273216,0,3,0.03471129522661612,0.25141738246362194,0
86e15493-7b87-40bf-a0ef-b75b3fd92462,CUST_018804,MERCH_03632,2024-01-10 05:36:00,328.0796437742526,15,5.796299799810331,0,4,0.5631129113143789,0.3550469336173964,0
5aef109f-d06a-4c7f-a855-bc13c1cd1e65,CUST_019608,MERCH_02850,2024-01-19 12:06:00,27.35227525998272,17,3.3447072830374602,0,5,0.888447008281993,0.12804603346631907,0
77dd3564-bd56-4f6a-8092-1138bd26cee1,CUST_011384,MERCH_01886,2024-01-13 00:28:00,46.178238399452546,11,3.853932735415827,1,1,0.06316298823214303,0.1633305637036125,0
d4a9bf58-d238-4bf4-9092-ef1416e5a958,CUST_016691,MERCH_01822,2024-01-14 06:43:00,27.855591975465856,14,3.3623038034772113,1,1,1.5794460313656664,0.12251755783795007,0
bf0bd3c9-9f0f-491c-85c4-a37bac956ffd,CUST_003815,MERCH_04089,2024-01-30 05:18:00,76.42444448483546,20,4.349302550952487,0,2,1.3425306898841423,0.2349686836610264,0
